pl_name,pl_rade,pl_bmasse,pl_eqt,pl_orbsmax,st_teff,st_rad
Kepler-869 b,3.61,12.7,494.0,0.2244,5664.0,0.95
GJ 2126 b,13.6,413.1769291,203.08,0.71,4159.0,0.728
WASP-46 b,13.159366,607.0553,1636.0,0.02335,5600.0,0.858
Kepler-932 b,1.37,2.45,1276.0,0.02876,5331.0,0.84
HD 1605 b,13.8,296.85322,362.48,1.492,4915.0,3.49
Kepler-1206 b,1.64,3.33,1314.0,0.0201,4877.0,0.75
Kepler-520 b,1.66,3.39,711.0,0.14628,6112.0,1.09
Kepler-27 c,4.9,4385.87,481.0,0.191,5400.0,0.59
Kepler-1250 b,1.92,4.35,1431.0,0.0393,5717.0,0.98
TOI-2141 b,3.147,20.1,728.0,0.1322,5635.0,0.95
GJ 317 b,13.3,794.5,100.32,1.138,3496.0,0.403
Kepler-1851 b,3.90012032,14.5,776.0,0.1016,5982.0,0.879
K2-308 b,9.916,70.6,1213.76,,6100.0,1.24
KOINTREAU-1 b,12.4,3368.9811142,,690.0,3551.0,
Kepler-350 b,1.85,16.9,1037.0,0.104,6186.0,1.534
K2-414 c,1.9287,4.38,762.62,0.0552,4343.0,0.732
K2-148 b,1.33,2.33,733.87,0.0454,4079.0,0.632
Kepler-633 b,1.63,3.29,1021.0,0.08185,5899.0,1.15
Kepler-61 b,2.15,5.27,273.0,0.24861,4017.0,0.62
TOI-4562 b,12.53,732.0,318.0,0.768,6096.0,1.152
Kepler-1154 c,2.36,6.17,1117.0,0.0875,6327.0,1.43
Kepler-241 c,2.57,7.13,397.0,0.189,4699.0,0.668
Kepler-863 b,2.9,8.75,718.0,0.122,5678.0,0.95
CoRoT-35 b,18.83108758,349.6112477,1747.0,0.0429,6390.0,1.65
Kepler-1127 b,1.96,4.5,994.0,0.0556,5664.0,0.95
Kepler-1234 b,2.81,8.3,625.0,0.096,4967.0,0.76
HAT-P-27 b,11.43,197.05,1091.99,0.04,5316.0,0.864673
Kepler-1934 b,0.91307734,0.702,1700.0,0.02466,5925.0,1.035
Kepler-1344 b,1.84,4.04,1219.0,0.05501,5981.0,1.13
Kepler-1124 b,1.28,2.18,621.0,0.0305,3658.0,0.34
Kepler-117 c,12.341,584.78,704.0,0.2804,6150.0,1.606
K2-97 b,13.45077684,174.48779544,1566.0,0.0854,4673.0,4.14
Kepler-1581 b,0.8,0.437,1108.0,0.06865,6022.0,1.23
TOI-206 b,1.3,2.24,910.0,0.0112,3383.0,0.35
BD+48 740 b,13.5,540.311,538.94,1.7,4534.0,10.33
EPIC 212587672 b,1.26,2.13,756.0,,6004.0,0.98
OGLE-2016-BLG-1800L b,13.2,823.17557413,,1.88,,
HD 4308 b,4.12,15.8915,799.37,0.12,5686.0,1.02
Kepler-1403 b,2.14,5.22,1238.0,0.064,6060.0,1.15
TOI-707 b,2.416,6.42,491.7,0.275,5424.0,0.978
Kepler-546 b,7.0,39.1,1258.0,0.0502,5967.0,1.15
Kepler-299 d,1.86,4.12,729.0,0.118,5617.0,1.032
TOI-283 b,2.34,6.54,661.0,0.123,5213.0,0.85
TOI-205 b,2.50121142,6.81,1799.55,,6302.74,1.45382
Kepler-236 b,1.57,3.09,469.0,0.065,3750.0,0.51
HIP 8541 b,12.6,2451.7283316,305.12,3.729,4672.0,6.84
HD 92788 c,13.0,1166.4361,91.27,10.5,5744.0,1.14
Kepler-310 b,1.19,1.81,665.0,0.111,5797.0,0.876
Kepler-1886 b,2.58158428,7.18,580.0,0.16,5745.0,0.837
HD 207832 c,14.0,232.0159,179.84,2.112,5710.0,0.901
HAT-P-49 b,17.82231,699.226,2131.0,0.04378,6820.0,2.06
TOI-6019 b,12.3,149.0,1095.0,0.1212,5561.0,2.02
