pl_name,pl_rade,pl_bmasse,pl_eqt,pl_orbsmax,st_teff,st_rad
HD 159868 c,14.0,244.09344,383.37,1.032,5534.0,2.13
Kepler-140 b,1.61,3.22,1301.0,0.045,6077.0,1.288
HATS-69 b,10.592505,183.38791,1295.7,0.03211,5137.0,0.8785
Kepler-139 b,2.94,7.0,752.0,0.127,5594.0,1.3
bet UMi b,12.7,1938.7,1040.63,1.4,4126.0,38.3
Kepler-134 b,2.0,4.66,1105.0,0.06,5983.0,1.176
Kepler-1665 b,2.83910787,8.44,906.0,0.096,5049.84,0.777785
HD 108236 f,2.017,4.72,609.59,0.1758,5660.0,0.877
HD 73344 b,2.884,10.48,911.0,0.131,6252.6,1.22
Kepler-1617 b,1.2,1.87,736.0,0.17707,6167.0,1.22
Kepler-2001 c,1.82,3.97,597.0,0.1084,5081.0,0.77
Kepler-1443 b,0.97,0.871,1602.0,0.03783,6289.0,1.27
XO-1 b,12.77826,263.7989,1210.0,0.0488,5750.0,0.88
HD 206893 c,16.36511182,3527.8953177,1181.9,3.74,6500.0,1.31116
HD 233832 b,13.5,565.7374,117.8,2.827,4981.0,0.68
TOI-2364 b,8.60849718,71.51139158,1091.0,0.04871,5306.0,0.886
Kepler-30 d,8.8,23.1,308.0,0.5,5498.0,0.95
Kepler-1125 b,1.84,4.04,778.0,0.1348,5683.0,0.94
TOI-4527.01,0.9086617,0.689,1362.93,0.008332353,3702.0,0.485948
Kepler-1321 c,2.4,6.35,697.0,0.0267,4094.0,0.53
HD 73344 d,13.2,810.46243785,126.51,6.7,6148.0,1.22
TOI-6692 b,11.67975789,197.05361234,467.0,0.512,5890.0,1.385
Kepler-792 b,1.96,4.5,852.0,0.0988,5971.0,1.12
K2-80 c,1.47,2.76,1002.42,0.0596,5441.0,0.87
TOI-6000 b,0.94,0.779,1120.0,,3419.0,0.38
HD 28109 b,2.69,6.2,867.0,0.1357,6189.0,1.425
Kepler-891 b,6.41,33.6,486.0,0.2881,5887.0,1.07
TOI-5624 d,3.584,4.9,712.6,0.1067,5327.0,0.82
Kepler-765 b,2.43,6.48,641.0,0.1754,5901.0,1.06
Kepler-1516 b,1.75,3.71,967.0,0.0718,5904.0,1.07
Kepler-1159 b,2.37,6.21,677.0,0.1603,6217.0,1.28
HATS-18 b,14.896761,629.144485,2069.48,0.0174,5600.0,1.02
TOI-1873 b,2.86356397,8.57,923.5,,5597.99,0.971675
Kepler-113 b,1.82,11.7,775.0,0.05123,4725.0,0.69
TIC 160113658 b,3.49015778,12.0,,,4817.31,0.789834
CoRoT-25 b,12.11,85.81,1330.0,0.0578,6040.0,1.19
HD 216536 b,13.8,333.7215,897.99,0.61,4639.0,9.83
TOI-2407 b,4.26,16.8,705.0,0.033,3530.0,0.567
Kepler-1060 b,2.38,6.26,484.0,0.2495,5797.0,0.99
Kepler-154 e,1.5,2.86,1140.0,0.04766,5769.0,0.98
Kepler-1844 b,3.03648191,9.46,1074.0,0.0478,5776.0,0.849
Kepler-1036 b,3.01,9.32,326.0,0.47726,5533.0,0.89
Kepler-561 c,2.68,7.65,989.0,0.05947,5646.0,0.94
Kepler-37 b,0.3098,0.79,718.0,0.1019,5357.0,0.789
Kepler-585 b,2.83,8.4,1178.0,0.03841,5593.0,0.93
K2-203 b,1.26549392,2.14,738.4,0.0824,5026.0,0.765
Kepler-233 b,2.43,6.48,751.0,0.077,5360.0,0.758
Kepler-1863 b,2.26309256,5.74,508.0,0.23678,5871.0,0.983
Kepler-356 c,1.81,3.93,913.0,0.115,6133.0,1.335
Kepler-1865 b,1.57686072,3.11,1203.0,0.0344,5420.0,0.871
TOI-5126 b,4.74,20.2,1442.0,0.06519,6150.0,1.241
VHS J125601.92-125723.9 b,13.67495645,5085.254512,1194.0,350.0,2620.0,
Kepler-505 b,2.6,7.27,314.0,0.1445,3931.0,0.53
WASP-147 b,12.498035,87.40325,1404.0,0.0549,5702.0,1.429
HD 23079 c,2.8,8.26,,,5994.0,1.08
Kepler-166 d,1.73,3.64,1313.0,0.02449,5350.0,0.83
Kepler-1480 b,1.67,3.43,721.0,0.1525,5156.0,0.81
Kepler-1987 d,2.66,7.56,744.0,0.0571,4769.0,0.714
HD 125612 d,12.7,2281.37230545,147.48,3.982,5900.0,1.07
Kepler-245 b,2.57,146.78,753.0,0.071,5100.0,0.795
TOI-2141 c,2.35,6.14,1095.0,0.0585,5635.0,0.95
WASP-4 b,15.12091496,381.3940884,1653.0,0.02261,5436.0,0.912
Kepler-1556 b,1.96,4.5,797.0,0.0829,5608.0,0.95
Kepler-209 b,2.26,5.73,668.0,0.122,5513.0,0.935
OGLE-2018-BLG-1269L b,14.1,210.0,,4.51,,
Kepler-131 c,0.84,8.25,615.0,0.17391,5685.0,1.03
Kepler-24 d,1.67,293.959,1305.0,0.051,5897.0,1.289
HD 28254 b,13.0,1207.7479466,212.28,2.45,5664.0,1.48
HD 127195 c,14.1,206.58846455,,,4981.0,4.16
HATS-40 b,17.71022,505.3497,2101.0,0.04997,6460.0,2.26
K2-266 e,2.73,14.3,490.1,0.1249,4285.0,0.703
HD 33283 b,12.5,104.56607,1034.4,0.1508,5935.0,1.97
Kepler-237 b,1.41,2.57,823.0,0.05,4861.0,0.725
K2-126 b,1.97,4.54,601.0,0.0656,4339.0,0.65
HD 224018 d,2.4,4.2,411.0,0.53,5784.0,1.147
HD 125612 b,13.2,945.22168242,253.38,1.349,5900.0,1.07
K2-183 b,1.1,1.37,,,5482.0,0.87
HD 109988 b,12.1,6935.33366915,65.91,12.518,5185.97,0.869694
Kepler-100 e,5.27,24.14271827,621.73,0.312391586,5884.0,1.5
Kepler-219 c,3.58,12.5,766.0,0.165,5786.0,1.491
Kepler-1790 b,3.1446145,10.0,682.0,0.20989,5866.0,1.367
Kepler-1641 c,2.95,9.01,767.0,0.2065,6152.0,1.19
HD 75898 c,12.6,2698.36317543,135.2,7.39,6122.0,1.55
WASP-155 b,13.45077684,276.8285425,1468.0,0.043,5660.0,1.24
K2-386 b,2.32,5.99,,,5749.0,0.97
HATS-35 b,16.409976,388.38826,2037.0,0.03199,6300.0,1.433
Kepler-918 b,1.74,3.68,1052.0,0.0569,6028.0,1.14
K2-206 b,2.79522879,8.22,,,5043.0,0.758046
Kepler-141 b,0.69,0.257,968.0,0.039,4910.0,0.787
Kepler-582 b,3.68,13.1,603.0,0.1254,5564.0,0.91
TOI-912 b,1.93,5.1,551.0,0.041,3572.0,0.419
Kepler-335 c,3.07,9.64,592.0,0.356,5877.0,1.854
XO-2 S c,13.6,438.60320166,376.79,0.4737,5325.0,1.02
Kepler-31 d,3.9,2161.244,484.0,0.4,6340.0,1.22
TOI-4427 b,13.09208946,87.72064033,1040.0,0.05389,5347.0,0.89
TOI-2583 A b,14.4595851,79.45710175,1456.0,0.0571,5936.0,1.477
Kepler-966 b,4.13,16.0,391.0,0.3907,5840.0,1.02
HD 50499 c,13.2,931.2419,116.69,9.02,6099.0,1.42
WASP-140 b,14.23540549,775.5052,1270.0,0.0323,5300.0,0.87
Kepler-630 b,3.18,10.2,343.0,0.56201,5829.0,1.04
Kepler-874 b,3.94,14.7,560.0,0.2234,6020.0,1.13
KMT-2021-BLG-0322L b,12.7,2034.1018048,,,,
Kepler-235 b,2.23,5.6,731.0,0.037,4255.0,0.554
GJ 504 b,12.10569916,1271.3,510.0,43.5,6234.0,1.26
EPIC 220492298 b,0.99,0.937,,,5620.0,0.89
WASP-126 c,9.38,64.2,,,5800.0,1.27
Kepler-85 c,1.978,2.15,706.0,0.10363,5505.2,0.875
Kepler-1345 b,2.36,6.17,693.0,0.26412,6449.0,1.55
GJ 667 C c,1.77,3.8,,0.125,3350.0,
K2-395 c,3.395,11.4,,,5007.0,0.783
Kepler-866 b,1.63,3.29,996.0,0.0331,4751.0,0.71
Kepler-223 b,2.99,7.4,1042.0,0.07525,5803.0,1.72
HD 4732 c,13.1,1069.49258955,243.69,4.725,4898.0,5.03
Kepler-922 b,1.42,2.6,1876.0,0.01795,5671.0,0.93
Gaia-2 b,14.81827249,259.66580852,1213.23,0.0467,5720.0,1.064
HATS-67 b,18.887165,460.8535,2193.0,0.03032,6594.0,1.441
KMT-2020-BLG-0202L b,12.4,3902.93283796,,4.17,,
Kepler-549 b,2.57,11.0,487.0,0.23236,5360.0,0.84
HD 127195 b,14.0,212.94503269,,,4981.0,4.16
GJ 1148 b,11.9,96.7,232.94,0.166,3287.0,0.358519
Kepler-1780 b,3.60600667,12.7,340.0,0.4276,5403.0,0.868
HD 28471 b,1.75,3.72,1377.0,0.042,5766.0,1.08
NY Vir b,13.3,730.978,338.12,3.3,32780.0,0.151
TOI-2447 b,9.60609646,124.90656395,414.0,0.347,5730.0,1.006
K2-58 d,1.71,3.57,621.48,0.1517,5413.0,0.86
TOI-4137 b,13.57407563,457.67290608,1570.0,0.05222,6202.0,1.438
GJ 625 b,1.49,2.82,335.59,0.078361,3499.0,0.31
Kepler-267 b,1.98,37.9,615.0,0.037,4258.0,0.555
Kepler-775 b,1.19,1.81,1612.0,0.01834,5468.0,0.84
KIC 10068024 b,13.4,635.656814,,,6118.4,1.574
WASP-177 b,17.71022,161.45764,1142.0,0.03957,5017.0,0.885
NGC 2682 Sand 1429 b,13.4,572.0911326,683.0,0.384,6000.0,2.13
TOI-6034 b,11.92,254.0,714.0,0.02949,3635.0,0.489
Kepler-791 b,3.05,9.53,939.0,0.1256,6383.0,1.47
TOI-1260 b,2.41,8.56,871.0,0.0367,4227.0,0.672
TOI-1062 b,2.265,10.15,1077.0,0.052,5328.0,0.84
WASP-79 b,17.14974047,270.15414595,1716.2,0.0519,6600.0,1.51
Kepler-1630 b,2.19,5.43,182.0,1.1218,4736.0,0.63
Kepler-1365 b,0.92,0.721,969.0,0.07839,5770.0,1.05
Kepler-133 c,2.84,8.45,663.0,0.204,5736.0,1.425
Kepler-346 c,3.07,9.64,654.0,0.168,6033.0,1.021
Kepler-160 b,1.715,3.59,1134.0,0.05511,5471.0,1.118
Kepler-341 d,1.85,4.08,622.0,0.182,6012.0,1.024
K2-125 b,2.18,5.39,321.22,0.121,3654.47,0.402049
HD 27442 b,13.5,495.8,369.62,1.271,4846.0,3.18
Kepler-1489 b,1.77,3.78,400.0,0.3679,5655.0,0.9
Kepler-1623 b,1.31,2.27,1000.0,0.0518,5772.0,1.0
HD 156411 b,14.0,235.18,304.95,1.88,5900.0,2.16
Kepler-496 b,2.32,5.99,747.0,0.0747,5293.0,0.82
TOI-4463 A b,13.26022417,252.35575516,1395.0,0.04036,5640.0,1.062
Kepler-1246 b,1.36,2.42,554.0,0.0848,4611.0,0.69
Kepler-1126 b,1.73,3.64,374.0,0.41251,5798.0,0.93
Kepler-926 b,2.31,5.95,524.0,0.2739,5806.0,1.01
GJ 676 A e,2.47,6.67439655,351.55,0.181,3734.0,0.69
Kepler-287 b,2.33,83.0,667.0,0.145,5806.0,1.032
HAT-P-21 b,12.44199,1547.8321,1367.0,0.05037,5588.0,1.21
TOI-2145 b,12.24020692,1805.26535176,1484.0,0.1117,6206.0,2.75
Kepler-48 c,2.71,14.61,736.0,0.08633,5194.0,0.89
TOI-2096 b,1.243,2.08,445.0,0.025,3300.0,0.235
HD 213472 b,13.1,1112.3994245,91.76,13.0,5729.54,1.433902
Kepler-1356 b,1.53,2.96,1714.0,0.0136,5106.0,0.78
HD 13908 c,12.8,1630.4,273.57,2.03,6255.0,1.67
Kepler-605 c,0.86,0.566,1278.0,0.03336,5462.0,0.88
Kepler-292 c,1.47,2.76,1001.0,0.045,5299.0,0.826
Kepler-889 b,1.09,1.32,1328.0,0.04975,5961.0,1.25
Kepler-1254 c,1.3,2.24,927.0,0.0422,4985.0,0.75
Kepler-244 c,2.05,4.86,791.0,0.087,5554.0,0.803
Kepler-1332 b,1.37,2.45,728.0,0.09915,5581.0,0.9
HIP 35965 b,12.6,2589.98368864,48.85,15.898,4836.0,0.697551
OGLE-2013-BLG-0102L b,12.3,4100.0,,0.8,,
HD 80913 b,12.0,7505.2000029,118.23,9.95,6013.24,1.6542
HD 134060 b,3.16,10.1,1473.18,0.0444,5966.0,1.164285
Kepler-1950 b,1.52696349,2.95,752.0,0.0871,5455.0,0.852
Kepler-1984 b,6.81,37.3,675.0,0.0238,3638.0,0.42
TOI-7510 c,10.81,131.0,702.0,0.1595,5720.0,1.035
K2-60 b,7.655747,135.39558,1400.0,0.045,5500.0,1.12
Kepler-1397 b,1.72,3.61,551.0,0.25861,6026.0,1.12
Kepler-358 b,2.72,7.85,554.0,0.21,5908.0,0.954
Kepler-354 d,1.24,2.07,451.0,0.146,4648.0,0.674
TOI-3135 b,13.65253849,327.36325921,1292.0,0.04756,5890.0,0.985
Kepler-718 b,16.56,,1497.0,0.0322,6191.0,1.3
Kepler-1179 b,1.32,2.3,1137.0,0.03497,5212.0,0.81
Kepler-381 c,1.12,1.46,1180.0,0.117,6152.0,1.568
Kepler-1342 b,1.66,3.39,1283.0,0.0313,5527.0,0.9
Kepler-1544 b,1.78,3.82,269.0,0.54465,4886.0,0.74
WASP-174 b,16.10730527,104.88337431,1528.0,0.05503,6399.0,1.347
CD-35 2722 b,17.37392009,9375.9380065,1800.0,67.0,3689.0,0.558549
Kepler-475 b,2.49,6.76,980.0,0.03989,5009.0,0.79
Kepler-1978 b,2.67,7.61,676.0,0.0914,5251.0,0.778
GJ 3222 b,3.4,11.44182265,811.06,0.091,5257.46,0.931389
Kepler-1836 b,2.55303229,7.05,1093.0,0.0602,6123.0,0.987
Barnard e,0.637,0.193,340.0,0.0381,3195.0,0.185
Kepler-141 c,1.41,2.57,738.0,0.067,4910.0,0.787
Kepler-948 b,1.85,4.08,841.0,0.0749,5679.0,0.94
K2-201 b,1.40006712,2.54,,,5507.0,0.878161
HD 181433 d,13.2,858.1366989,81.19,6.74,4918.0,0.79
HD 213885 b,1.745,8.83,2128.0,0.02012,5978.0,1.1011
HIP 39330 b,13.5,530.77343969,125.05,5.05,5748.0,1.02786
OGLE-2016-BLG-1195L b,1.11,1.43,,1.16,,
MOA-2009-BLG-266L b,3.21,10.4,,3.2,,
Kepler-887 c,1.13,1.51,1089.0,0.0801,6194.0,1.29
Kepler-306 d,2.47,6.66,535.0,0.12,4954.0,0.719
Kepler-177 c,8.73,14.7,497.0,0.25655,5732.0,1.324
Kepler-52 c,1.84,45.4,433.0,0.10379,4075.0,0.52
Kepler-572 b,2.58,7.18,553.0,0.1192,5212.0,0.79
Kepler-1450 b,1.71,3.57,308.0,0.2401,4524.0,0.68
HD 10180 f,5.24,23.9,427.54,0.4929,5911.0,1.109
Kepler-882 b,1.23,2.04,903.0,0.04741,5476.0,0.87
Kepler-559 b,3.61,12.7,706.0,0.1277,5630.0,0.95
TOI-1232 b,10.92875618,220.57291446,785.71,0.117,5823.0,1.072
TOI-4773 b,15.22179579,1687.66884117,2255.0,0.03216,6740.0,1.55
Kepler-1312 b,2.1,5.06,978.0,0.06053,5719.0,0.92
WASP-22 b,13.78707,212.9461,1502.0,0.047,6000.0,1.24
Kepler-272 b,1.43,78.0,1200.0,0.038,5297.0,0.929
Kepler-35 b,8.16,40.363,352.89,0.60347,5606.0,1.0284
