pl_name,pl_rade,pl_bmasse,pl_eqt,pl_orbsmax,pl_orbper,st_lum,st_teff,st_spectype,st_rad,discoverymethod,disc_year,pl_trandur,pl_orbeccen,hostname,sy_pnum,curationCategory,_esi_rank_display,_hzd_rank_display
KELT-16 b,15.860735,874.0325,2453.0,0.02044,0.9689951,0.4014,6236.0,F7 V,1.36,Transit,2017,2.4888,0.0,KELT-16,1,extreme,0.0495229426655426,-5.477458765413253
HD 80653 b,1.621,5.61,2438.0,0.01657,0.71957926,0.21165,5959.0,G0 V,1.199,Transit,2020,1.725,0.0,HD 80653,2,extreme,0.09935895233655824,-5.476931976253542
K2-157 b,0.935,1.14,2432.0,0.00962,0.3652575,-0.2102,5334.0,G9 V,0.86,Transit,2018,1.161,,K2-157,3,extreme,0.10781241866667593,-5.480420027516427
WASP-18 b,13.89913607,3241.8497514,2429.0,0.02024,0.94145223,0.42813,6432.0,F6 IV-V,1.319,Transit,2009,2.21,0.0051,WASP-18,1,extreme,0.05823353556668916,-5.479897847638108
TOI-2580 b,17.37392009,200.23189641,2410.0,0.048,3.39775,0.61595,6120.0,F,1.81,Transit,2024,8.38,0.08,TOI-2580,1,extreme,0.036661817310550994,-5.426317804872602
WASP-121 b,19.52604438,371.85923619,2409.0,0.02571,1.27492504,0.64372,6628.0,F6 V,1.461,Transit,2016,2.9053,0.0085,WASP-121,1,extreme,0.03735468101009384,-5.480424459114922
TOI-1431 b,16.70138124,991.62462984,2370.0,0.046,2.650237,1.06819,7690.0,Am C,1.92,Transit,2021,2.489,0.0022,TOI-1431,1,extreme,0.050719885067363885,-5.474735116121888
TOI-1295 b,15.69257298,451.31633794,2360.0,0.047,3.1968838,0.58659,6280.0,F,1.7,Transit,2024,6.2,0.024,TOI-1295,1,extreme,0.0472900724057158,-5.424875255287986
WASP-167 b,17.71022,2542.64,2329.0,0.0365,2.0219596,0.89734,7000.0,F1 V,1.79,Transit,2017,2.724,,WASP-167,1,extreme,0.05602470302524839,-5.476914129717123
EPIC 220674823 b,1.606,7.54,2324.0,0.0132,0.57130782,-0.11919,5578.0,G5 V,0.99,Transit,2016,1.599,0.0,EPIC 220674823,2,extreme,0.09837336095404263,-5.466674327468507
TOI-715 b,1.55,3.02,234.0,0.083,19.288004,-2.30899,3075.0,M4,0.24,Transit,2023,1.98,,TOI-715,1,hz_candidate,0.7803266309396859,0.10029729791160248
TOI-2257 b,2.194,5.45,256.0,0.145,35.189346,-1.86713,3430.0,M3,0.313,Transit,2021,3.846,0.496,TOI-2257,1,hz_candidate,0.741978229391044,0.3845762690505834
