pl_name,pl_rade,pl_bmasse,pl_eqt,pl_orbsmax,st_teff,st_rad,pl_density,interior_esi,surface_esi,habitability_index
Kepler-1538 b,2.82,8.35,346.0,0.6095,5837.0,1.03,2.0528041878975536,0.5997456903987288,0.4000571427517128,0.4898291000732488
GJ 229 A c,2.87,8.58136699,188.1,0.384,3564.0,0.46,2.001332092887923,0.5916217698943184,0.4011964576705687,0.4871925269976879
Kepler-1684 b,2.87084792,8.6,347.0,0.2253,4706.54,0.666755,2.003901014974119,0.5918826793541434,0.39636304979452985,0.48435567913400795
BD-11 4672 c,4.04,15.37,320.21,0.3,4550.0,0.639,1.2851036191746747,0.4567819111440029,0.5109873118457694,0.4831249950843437
BD-06 1339 c,8.38,53.0,261.91,0.435,4324.0,0.686355,0.49653765426089086,0.24577474777587782,0.9276544899546952,0.477487223171234
Kepler-630 b,3.18,10.2,343.0,0.56201,5829.0,1.04,1.748747820833726,0.548412552469565,0.4113854960307738,0.4749831259394325
YZ Cet c,1.05,1.14,410.3,0.02156,3151.0,0.157,5.429318615261042,0.9890624214235543,0.22688396423943152,0.47371130771053716
Barnard c,0.743,0.335,400.0,0.0274,3195.0,0.185,4.502842331437829,0.9028671711888667,0.24752275412610272,0.47273689175133327
Kepler-1490 b,3.04,9.48,348.0,0.3729,5515.0,0.87,1.8603555790145918,0.567745147189359,0.3927091143464307,0.47218502086281505
TOI-4562 b,12.53,732.0,318.0,0.768,6096.0,1.152,2.051475064768333,0.41814381153333363,0.522082086432878,0.46723162730525736
Kepler-239 c,2.51,6.85,366.0,0.268,4914.0,0.763,2.38823897497961,0.6509160599705099,0.3332655738838849,0.4657552085337417
HD 23127 b,13.5,485.32641,223.4,2.37,5843.0,1.49,1.0875293688972507,0.31403758931966,0.6829622882730645,0.46311535345474336
HD 45350 b,13.5,568.89,217.81,1.92,5566.0,1.26442,1.274780374453467,0.3368146617412159,0.6330967117863774,0.46177511283069894
Kepler-1780 b,3.60600667,12.7,340.0,0.4276,5403.0,0.868,1.4932499826275456,0.4997153522113025,0.4230940461025403,0.4598114725261169
Kepler-397 c,6.18,31.6,295.0,0.48,5307.0,0.767,0.7381251986807088,0.32104994136366266,0.656172122236837,0.4589815043861861
Kepler-81 d,1.21,1.92,418.0,0.128,4500.0,0.595,5.975214388943457,0.9506802723511969,0.2127734934966378,0.4497550030255353
Kepler-1489 b,1.77,3.78,400.0,0.3679,5655.0,0.9,3.7582042146591084,0.8147225182375818,0.24752275412610272,0.44906832616286824
HD 142 b,12.7,2256.5816897,358.19,1.039,6245.0,1.47,6.073629160210111,0.5626501705370073,0.35765238641842134,0.44859020966946256
Kepler-1599 b,1.62,3.26,407.0,0.4823,5767.0,0.99,4.22747386064503,0.8585453757193239,0.2332673746546234,0.4475160620758924
Kepler-1132 b,2.35,6.12,384.0,0.2881,5298.0,0.83,2.599897400781349,0.6805894005376836,0.28414943321249186,0.43976026697873966
HD 40979 b,12.9,1484.2661,354.69,0.85,6165.0,1.21,3.8119834993408697,0.5167901332504817,0.36926059193704447,0.4368411959869364
Kepler-329 c,1.93,4.38,402.0,0.113,4257.0,0.523,3.35900428596132,0.773031018188131,0.24334746164570784,0.4337224182002571
HD 152843 c,5.94,9.67,253.08,0.1482,6310.0,1.43,0.2543756367221957,0.19141857577732227,0.9790952129579209,0.432916864091478
HD 120084 b,12.7,2034.1018048,369.24,4.21,4879.0,10.37,5.4748206514570015,0.5768765566867633,0.32372757097080074,0.43214678807808504
K2-136 d,1.565,3.0,420.0,0.1538,4500.0,0.677,4.315057662210167,0.8691069969918066,0.20927942346643474,0.4264811968435299
Kepler-34 b,8.564,69.92,294.42,1.0896,5913.0,1.1618,0.6137334842055626,0.2709429231858376,0.6600467094898067,0.4228888564485491
HD 106252 b,12.5,3178.28407,178.13,2.655,5874.0,1.05,8.971623640394755,0.5013930913690459,0.3361478157645791,0.41053890498119033
NY Vir b,13.3,730.978,338.12,3.3,32780.0,0.151,1.7130015579183606,0.38301894190871455,0.43063175262207987,0.40612820419370577
K2-316 c,1.83,4.01,423.0,0.0582,3436.0,0.379,3.6074430021214465,0.799199304955893,0.20416434081987742,0.40394058879991757
Kepler-241 c,2.57,7.13,397.0,0.189,4699.0,0.668,2.3157865879989137,0.6403396444827396,0.2539451942176274,0.40325075992912374
GJ 143 b,2.61,22.7,422.0,0.1915,4640.0,0.695,7.039028274399294,0.7883421491069789,0.2058528155170347,0.40284296069860964
TOI-2096 b,1.243,2.08,445.0,0.025,3300.0,0.235,5.9711547077331595,0.9468519532374858,0.17084194980380737,0.40219651150480595
Barnard b,0.72,0.299,438.0,0.0229,3195.0,0.185,4.41653903795369,0.8930809127078299,0.18069666347989796,0.40171724028710404
GJ 887 b,1.8,3.9,426.0,0.0683,3688.0,0.468,3.6868499795091663,0.8072690684097117,0.19919603895253674,0.4010047391192765
Kepler-354 d,1.24,2.07,451.0,0.146,4648.0,0.674,5.985682331114799,0.9465725872870023,0.1628963490724146,0.39267444352934683
Kepler-1716 b,2.4247685,6.46,408.0,0.18836,4894.0,0.684,2.4982163594034272,0.6665229723274155,0.23131089772864974,0.3926500058395803
HD 114783 b,13.7,349.6,210.79,1.16,5135.0,0.840622,0.7495801840551441,0.26365447814074305,0.5732305156937707,0.38876058502578437
GJ 2126 b,13.6,413.1769291,203.08,0.71,4159.0,0.728,0.9055818567066893,0.28846230659896077,0.5110665703706413,0.38395760405900975
Kepler-371 c,1.78,3.82,443.0,0.313,5666.0,0.992,3.7343217186518713,0.8122354736440983,0.17359144743350477,0.37549584754923365
GJ 1148 b,11.9,96.7,232.94,0.166,3287.0,0.358519,0.3163690310656532,0.17924307098191397,0.7724754015283805,0.37210329644862594
Kepler-1610 c,2.09,5.02,433.0,0.2323,5295.0,0.8,3.031609318463301,0.7354071843264273,0.18814734631031302,0.3719743407663444
Kepler-1995 b,4.28,16.9,375.0,0.3259,5029.0,0.93,1.1884030892455875,0.43561709307006585,0.3075539553228764,0.36602699351270845
HD 98736 b,13.3,740.5439,179.53,1.864,5271.0,0.93,1.7354186506391966,0.38505355808503916,0.34489088469875845,0.36441934951968996
HR 5183 b,13.1,1052.01202717,171.0,18.0,5794.0,1.53,2.579973186982124,0.45058796561615355,0.2936027430788667,0.3637222328965178
HD 43197 b,14.2,175.75910907,282.81,0.882,5508.0,1.0,0.33842402299971613,0.17697630409175452,0.7435881671627048,0.36276367733114795
HD 210193 b,14.3,153.1,235.69,1.487,5790.0,1.05971,0.28865258611240247,0.16297778568626708,0.7992944756517548,0.3609255376846988
HD 224018 d,2.4,4.2,411.0,0.53,5784.0,1.147,1.6750352070366172,0.5715266038579772,0.22555651917056932,0.3590425481465702
HD 29021 b,12.9,1420.69297929,163.2,2.294,5560.0,0.85,3.6487111001746246,0.5096225263667095,0.25084356163214827,0.35754094814692033
Kepler-430 c,1.75,3.71,458.0,0.4757,5884.0,1.485,3.816525232917184,0.8204027403596824,0.1541707574246757,0.3556432367900897
HD 89839 b,12.8,1748.0562385,159.03,4.713,6314.0,1.28588,4.595511594989445,0.5481368279550975,0.2295953148774802,0.35475293883249764
HD 222076 b,13.5,495.8148,346.88,1.83,4806.0,4.1,1.111031968225089,0.3170466593762242,0.39680421066155375,0.35469063903162873
HD 156411 b,14.0,235.18,304.95,1.88,5900.0,2.16,0.4725248506346148,0.20981791337985092,0.5937023573106327,0.3529438904126485
Kepler-236 b,1.57,3.09,469.0,0.065,3750.0,0.51,4.402181016953257,0.8738269723047345,0.14154690680116117,0.35169234425724866
Kepler-1771 b,4.05537256,15.5,391.0,0.3815,5661.0,0.934,1.2812910658074004,0.4557975764753841,0.26738936643966393,0.3491066100756146
TOI-2406 b,2.86,15.6,449.0,0.02267,3100.0,0.204,3.6765025664218487,0.7360198286408796,0.1654954829562226,0.3490099669153856
Kepler-1467 b,3.3,10.9,411.0,0.2388,5332.0,0.82,1.6722186117544904,0.5341577183610622,0.22555651917056932,0.34710625987097166
Kepler-966 b,4.13,16.0,391.0,0.3907,5840.0,1.02,1.2522129828101987,0.449387981479226,0.26738936643966393,0.346643285891029
HD 42012 b,13.5,508.528,182.63,1.67,5405.0,0.82,1.1395199674103478,0.3206329464143787,0.3647054575820664,0.341959917882114
KOI-1831 d,1.13,2.23,475.0,0.19924,5233.0,0.835,8.520751645511549,0.8631459028011155,0.1351761344890354,0.34157975150863884
Kepler-409 b,1.199,6.0,438.0,0.3192,5421.0,0.897,19.191197532265054,0.6320077106506266,0.18069666347989796,0.3379373974690238
Kepler-199 c,3.25,10.6,420.0,0.316,5644.0,0.967,1.702409981000838,0.5398835043851621,0.20927942346643474,0.3361346583391322
Kepler-1681 b,2.55321772,7.05,442.0,0.32,5756.4,0.759,2.3352530170294985,0.6432226310161058,0.17498574902188688,0.3354918685693917
K2-343 c,2.02,4.74,465.0,,3804.0,0.46,3.17053540918046,0.7516682017977214,0.1459910568637428,0.331265505586257
Kepler-48 e,13.4,657.0,171.49,1.898274748,5194.0,0.89,1.5054257801213222,0.36234321174256645,0.2964206696528841,0.32772857286008544
Kepler-533 b,3.38,11.4,423.0,0.16704,4758.0,0.72,1.6276578796653147,0.5254827119057544,0.20416434081987742,0.32754363295365685
HD 5319 c,13.8,334.67499,340.67,1.93,4871.0,4.06,0.7020925656544862,0.25512834479498026,0.4204454141600106,0.3275172401436044
Kepler-1737 b,5.395,25.1,383.0,0.297,5043.0,0.881,0.8812674893006124,0.3604322507473899,0.2866435642271817,0.32142741796034935
HD 27442 b,13.5,495.8,369.62,1.271,4846.0,3.18,1.1109988040816836,0.31704244581032665,0.32263014161995224,0.31982409101148357
TOI-201 c,10.4,4990.0,169.58,4.37,6423.0,1.31,24.457322045651356,0.35656291695419073,0.2855246605440201,0.31907288481776536
HD 75784 c,12.8,1792.5612,149.31,8.4,4867.0,3.4,4.712511873414875,0.5521483680589979,0.1843726920250421,0.3190628167246557
Kepler-296 b,1.61,3.22,495.0,0.079,3740.0,0.48,4.253893552400827,0.8611019411943726,0.11625181253574644,0.31639320700972007
TOI-1759 b,3.14,10.8,443.0,0.1177,4065.0,0.597,1.9232829685718118,0.5713219994749417,0.17359144743350477,0.3149231856174759
HD 125612 d,12.7,2281.37230545,147.48,3.982,5900.0,1.07,6.14035353691051,0.5609238668681236,0.17652451102372552,0.31466936825886443
Kepler-1251 b,1.84,4.04,487.0,0.2478,5545.0,0.89,3.5754957864863606,0.796099326569779,0.12342063915973975,0.3134566759855028
Kepler-858 b,4.87,21.1,399.0,0.33939,5653.0,0.91,1.007172701629434,0.39257411551801097,0.24964205387003285,0.31305432195407845
HIP 10090 c,13.9,270.15414595,338.35,0.9,5661.0,1.38268,0.5545945668111932,0.227360237022107,0.4297011342245083,0.31256511597737907
Kepler-399 d,1.89,4.23,486.0,0.261,5502.0,0.68,3.454326062882678,0.7832784036261634,0.1243529184154722,0.312094465543248
HD 126525 b,10.3,75.32571,198.47,1.837,5638.0,0.979,0.3800492976726371,0.20413523707843445,0.47571164061478016,0.3116239858192388
Kepler-278 c,3.268,34.9,492.0,0.287,4965.0,2.861,5.512995752579214,0.8055943976297892,0.11888104787001019,0.30946713258186076
Kepler-26 b,2.78,5.12,431.0,0.08551,3914.0,0.512,1.313844440591544,0.5005815831137269,0.19122867548925673,0.30939546395051315
TOI-237 c,1.206,1.9,515.0,0.016,3226.0,0.2056,5.972003478901923,0.9513135362420473,0.10037448641991824,0.3090106917642362
HD 126614 b,12.7,107.74382997,209.54,2.249,5568.0,1.369794,0.2899944063737884,0.168586940640719,0.562895677352279,0.3080533397720368
Kepler-1236 b,2.14,5.22,480.0,0.1803,5337.0,0.82,2.936551065496789,0.7240011475329857,0.1301242473523956,0.3069366455883046
GJ 3082 b,2.79,8.2,457.53,0.079,3910.0,0.465216,2.0816591369085082,0.6043679594147041,0.15473906958060665,0.3058093126838376
Kepler-276 d,2.8,16.3,489.0,0.24666,5693.0,1.03,4.093755349808775,0.7646901528391622,0.12158068957957237,0.30491237445681657
Kepler-549 b,2.57,11.0,487.0,0.23236,5360.0,0.84,3.5727422816252523,0.7456653600813923,0.12342063915973975,0.3033652836771586
Kepler-267 c,2.13,5.18,484.0,0.06,4258.0,0.555,2.9552846901512457,0.7262679170514557,0.12624250872959486,0.30279676989425275
K2-266 e,2.73,14.3,490.1,0.1249,4285.0,0.703,3.8748640589556413,0.7557459329035421,0.1205825097597136,0.3018770301467225
Kepler-1321 b,4.92,21.5,408.0,0.0781,4094.0,0.53,0.9952943211388958,0.389528427902733,0.23131089772864974,0.30017023561474376
Kepler-1513 b,8.594,48.30991786,346.0,0.56971,5491.0,0.95,0.4196223634515977,0.22471630157217012,0.4000571427517128,0.29983222231223683
XO-2 S c,13.6,438.60320166,376.79,0.4737,5325.0,1.02,0.9613099709655626,0.29645252122499194,0.30272316202410404,0.29957143491202126
HD 222155 b,13.4,581.62598481,164.93,5.14,5701.0,1.85,1.3327165173842106,0.34403190902970665,0.25998743539251506,0.29907185377735646
Kepler-283 b,2.13,5.18,488.0,0.082,4351.0,0.566,2.9552846901512457,0.7262679170514557,0.12249659074758623,0.2982705882385222
GJ 876 e,3.92,14.6,150.46,0.3343,3293.74,0.3,1.3362971101971084,0.4677608183380142,0.18941176328110984,0.29765651579499847
HD 115954 b,12.6,2685.65003915,144.9,5.0,5957.0,1.213,7.401950206929038,0.5320120598533508,0.16581359360218065,0.29700981715085195
TOI-1410 c,5.63,27.0,397.45,0.239,4635.0,0.7558,0.8341553779365651,0.34778462003596033,0.252969410515062,0.29661232327181164
LHS 1678 c,0.941,1.4,510.9,0.0327,3490.0,0.329,9.26333861973418,0.8473744945862257,0.10340973725879193,0.29601819850300287
Kepler-384 c,1.13,1.51,531.0,0.236,5577.0,0.882,5.7696569438217225,0.9700502076794295,0.08949190969589207,0.2946381604377289
Kepler-878 b,1.93,4.38,501.0,0.165,5044.0,0.77,3.35900428596132,0.773031018188131,0.11119620454104644,0.2931861443094145
Kepler-398 c,1.01,1.01,536.0,0.087,4493.0,0.613,5.404625760797071,0.9934101571372461,0.08638071702733986,0.2929359685592701
Kepler-1391 b,1.68,3.46,513.0,0.30045,5840.0,1.1,4.023061097005898,0.8401844797720399,0.10184177847570834,0.2925164639258316
Kepler-265 e,2.59,7.22,476.0,0.319,5835.0,1.103,2.291111788071878,0.6367423121596456,0.1341475110328661,0.2922625469428622
Kepler-30 d,8.8,23.1,308.0,0.5,5498.0,0.95,0.18688409334706055,0.1480370306867391,0.5759764667193203,0.29200316073386534
Kepler-1060 b,2.38,6.26,484.0,0.2495,5797.0,0.99,2.5600699773409903,0.6750543086912002,0.12624250872959486,0.291925588905631
HD 24040 b,12.9,1589.142035,143.81,4.92,5802.0,1.3,4.081332326817253,0.5279091556563137,0.16141205869107897,0.2919090673760492
Kepler-35 b,8.16,40.363,352.89,0.60347,5606.0,1.0284,0.40956358532282533,0.2249682951586448,0.3754033011977258,0.29060942976335025
HD 1605 b,13.8,296.85322,362.48,1.492,4915.0,3.49,0.6227487714352233,0.24092500678427944,0.34400584823792674,0.28788819239516283
Kepler-1675 b,3.12483349,9.93,465.0,0.32185,5853.19,1.12865,1.7942253220150017,0.556244557571109,0.1459910568637428,0.2849679470300322
Kepler-1309 b,2.37,6.21,491.0,0.1679,5235.0,0.8,2.5719050823068588,0.6767630077859954,0.11977299936511468,0.28470675317225114
TOI-707 b,2.416,6.42,491.7,0.275,5424.0,0.978,2.509878005156035,0.6681537356418172,0.11914780835997932,0.2821507633327536
Kepler-52 c,1.84,45.4,433.0,0.10379,4075.0,0.52,40.18007641249524,0.42282461955608014,0.18814734631031302,0.28205199897207633
